Comment,Sentiment
আমার প্রিয় গান এর মধ্যে একটা,Positive
এই সিনেমা কার নাম কি,Positive
বাংলা চলচ্চিত্রে আইটেম গানের সেরা গান এটা যেটাকে এখনো কোনো গান কম্পেয়ার করেতে পারেনি,Positive
আমি ডানা কাটা পরি আমি মাদক ব্যবসা করি আমি নাইট ক্লাবে ঘুরি,Positive
সত্যিই আমাগো পরি আফা ডানা কাটা পরি,Positive
আমার পরিমনি আফু কে খুব ভালো লাগে এবং ঐগানটাও ভাল লাগে,Positive
আমার নাম নাজিহা আমার এই গানটা খুব খুব ভালো লাগে খুব খুব এই গানটা শুনলে মনে হয় কি মনে হয় ডানা কাটা পরি,Positive
টলিউড বলিউড যে নায়িকারা আছে তাদের থেকেও আমার মনে হয় সত্যিই পরীমনি খুব সুন্দর দেখতে,Positive
ওহ্ তাহলে ত তুমি উরতে পারো,Positive
ডানা কাটার পরির ডানা কেটে রাজ্য বের হয়েছে,Positive
তোমার ছেলেটা কে দেখিয়োও এই ভিডিও টা আসা করি তোমার মতই সে খুজে নিবে এমন এক জন্য,Negative
তুই আসলেই ডানা কাটা পরি,Negative
পরীর ছেলে হওয়ার পরে আবার দেখে যাচ্ছি আর কমেন্ট করছি যেন তার ছেলে বড় হয়ে তার মায়ের এই খোলামেলা পোষাকের ভিডিও গুলো দেখতে পারে,Negative
পরিমনির বাবু হওয়ার পর গানটা শুনতে এলাম,Positive
ডানা কাটা মাগী তুই ডানা কাটা মাগী,Negative
বিউটি ফুল আপু সত্যি ডানা কাটা পরি,Negative
ফি নারি জাহান্নামা খলিদিনা ফিহা মৃত্যুর পর বিনা হিসাবে জাহান্নাম অপেখখা করতেছে,Negative
গ্রেফতার হওয়ার আপনার কেমন অনুভুতি হইছিলো যদি একটু বলতেন,Negative
তিন ইঞ্চি গর্ত তিন মিনিটের মজা এক ফোঁটা পড়ে গেলে নয় মাসের সাজা বাণীতে পরী বেবী,Negative
ঠিকি বলছেন আরে আর সরি বললেন সবাইকেই চান্স দেন,Negative
একদম সোজা ঢঝছসধ ঢকজন ষঝ আ ষডগছ,Negative
আমি ডানা কাটা পরী আমি দেহ ব্যবসা করি আমি ডানা কাটা পরী আমি দেহ ব্যবসা করি,Negative
এদের কে জেলে তোলা দরকার,Negative
গানটা সুন্দর হয়েছে কিন্তু ভিডিও টা বাজে হয়েছে,Negative
তুই আখিরাতের ভাবনা ভাব পরী,Negative
মানে কি কে বলতে পারবে,Neutral
এই সব ১২ ভাতারী মাগিদের গান শুনতে চাই না তারপরেও চোখে পরে জাই,Negative
টাকা টাকা টাকা টাকা টাকা টাকা টাকা টাকা টাকা টাকা টাকা টাকা টাকা এবং তার জন্য জন্য জন্য জন্য জন্য জন্য জন্য জন্য জন্য জন্য জন্য ুএুএ,Negative
এটা যে কনিকা কাপুরের গাওয়া সেটা আজকেই খেয়াল করলাম,Positive
গানটা শোনা আমার ডেইলি রুটিন,Positive
পরীমনি প্রেগনেন্ট হওয়ার পর দেখতে আসলাম গানটি,Positive
পরির ডানা কাটা পরি আর মনে হয় উডতে পরেনা,Positive
খুব সুন্দর লাগছে কলিসার পরিমনি আপু,Positive
তোমার মতো বাজে মেয়ে ভিডিও দেখতে ভালো লাগে না,Negative
জেলের ভাত খাওয়া হোলো মিছেছ পরিমনি জুতার বাড়ি,Negative
আমাদের এই ডানা কাটা পরী কোথায় চলে গেল,Negative
ভাই এই ছোট্ট ভাইটির পাশে সকলে একটু দাঁড়ান ইসলামিক ভিডিও বানাই প্লিজ প্লিজ প্লিজ প্লিজ,Neutral
২০২২ সালেও কে কে গানটি শুনছেন,Positive
তোমার এই গানটা অনেক সুন্দর হয়েছে,Positive
তুই ডানা কাটা পরী আবার মাদক ব্যাবসা করবি না পরুমনি,Negative
তোর চেয়ে তো অনেক বেশি সুন্দর পাশের দুই মেয়ে তুই তো অদের দুই জনের চাকরানী হওয়ার ও যোগ্য না,Negative
আমি ডানাকাটা পরি আমি মাদক ব্যবসা করি,Negative
পরি আপা আপনি মা হলেন কেমন এ আমি কিন্তু এ বিষয় এ কিছু জানি না লিজেন্ড রা কেউ জানো,Neutral
ডানা কাটা তাতে এই অবস্থা আর যদি ডানা থাকতো তা হলে যে কি কি অবস্থা হতো,Negative
আমি এক বার মুজা ছাড়া জুতা পরে ছিলাম,Neutral
পরিমনি কে এই গানে খুব সুন্দর লাগছে,Positive
সি সি সি বেয়াদব পরি,Negative
তাই নাকি তুমি আমার বাড়ার বাল,Negative
এই গানটা খুব সুন্দর হয়েছে,Positive
য়ুউর ভেরিফ্লচাতিওন নোট সচ্ন নিবস গন্য না,Neutral
কিন্তু আমার ভোল লাগে চেহারা সুন্দর,Positive
পরি মণিকে ভালো লাগে কিন্তু ও ভাল না,Negative
পরীমনি আপনি জাহান্নামের রানী ঠিক বললাম,Negative
আমি দানা কাতা পরি রাতে আবার মদের বেবসা ক্রি,Negative
পেটে বাচ্চা ভরে দিছে রে,Negative
এরকম খারাপ মাইয়া আর একটা ও দেখে নাই,Negative
৪ থেকে ৫ বছর পরে পরি মনির বাচ্চা ইউটিউব এ এই গান শুনার পর বুঝতে পারবে তার মা এক সময় ডানাকাটা পরী ছিল,Negative
পরীমনি কিন্তু আবার জেলে গেছে,Negative
সুন্দর বক্তব্য রাখেন তিনি বলেন কিন্তু তার জন্য একটা সময় নিয়ে কথা বলে মনে হচ্ছে এবং তাদের মধ্যে দিয়ে তৈরি করতে পারে এবং,Neutral
এই গান অামার খুব পচন্দ,Positive
আমি ডানা কাটা ছেরি ওরে চুইদে একটু যাই,Negative
পরীমনি কান্ডের পর কেকে দেখছেন,Negative
বাদাম বাদাম বেটা কাচা বাদাম আমার কাছে নাই ত,Negative
গানটি অনেক বেশি সুন্দর হয়েছে ধন্যবাদ,Positive
এখন থেকে প্রতি দিন ডানা কাটা পরী দেখি যদি একটু সুযোগ পাই,Positive
তোর দুইটা টেনিজ বল ঝুলতেছি,Negative
আমি ডানা কাটা পরি আমি মদের ব্যবসা করি এখন আমি কি করি,Negative
গানটা চরিএের সাথে সেইরকম মিলে গেছে,Negative
গানের সাথে তার জীবন মিলে গেলো,Negative
জান তোমার নামবার দেখা যায় কেন গো জান আমার জান মানুষ নিয়ে যাবে আমি সুজন জান,Neutral
ভাইয়া এরকম গান অনেক পাঠাবেন,Positive
গানটা অনেক সুন্দর লেগেছে কিন্তু কমেন্ট টা অনেক বাজে,Positive
হায় রে কি যে বলি,Neutral
আমি নিয়মিত এমন গান পছন্দ করি,Positive
হ এই জন্য ই ডানার গোয়া মাইরা দিছে,Negative
ডানা মনে হয় বেশি বড় হয়ে গেছিলো এজন্য ডানা কেটে দিছে,Negative
বাংলাদেশের সিনেমার দ্বিতীয় ভিওপাপ্ত গান,Positive
এখানে অনেকে অনেরকম বলছে গান দেখছেন গানের কথা বলেন ওননো কথা দরকারকি কাইকে বিচার করতেগেলে তাকে ভালবাবে চিনতে হয় নাযেনে কাইকে খারাপ বলা ঠিকনা আর পাপ কে ঘিনা করেন মানুষকে না,Neutral
যে মেয়ে যতো সুন্দর তার তত গোপন কথা লুকিয়ে থাকে,Neutral
মানুষ হিসেবে যেমন হোক না কেন অভিনয় ভালো করে,Positive
হ্যা শট কাপর পরলেই ভালো অভিনয় হয় না,Negative
আমি ডানা কাটা পরি আমি নাইট কেলাবে গুরি গুরতে গুরতে একদিন আমি দরাপরি হায় রে যে কি করি,Negative
আমাদের যখন মন খারাপ হয় তখন আমরা কি করি ভালো একটা মুভি বার গান শুনি এদের আমাদের যখন প্রয়োজন তখন এদের ব্যক্তিগত জীবন নিয়ে আমাদের কী হবে দেখে,Neutral
কোন আর্টিস্টকে তার ব্যক্তিগত জীবন নিয়ে কারো মন্তব্য না করাই ভালো,Positive
ভাই অনেক দিন পর ভালো বিডিও দেখলাম,Positive
তুমি কি৷ গেপতার৷ হয়ে৷ ছিলেন,Negative
মাগির গান আমরা শুনি না,Negative
ওরে খানকি তোর লজ্জা করে না,Negative
পরী থেকে পীর হয়ে গেল,Negative
তরে দেখলে আগের মত দন খারা না এখন,Negative
আমি জেলে খানায় বাশ ভরি,Negative
এটা দেখে আমার রস চলে এসেছে বন্ধু হবে কেও,Negative
এই গান টা আমার খুব ভালো লাগে,Positive
ওরে খানকি তোর ধোন কতো লাগে,Negative
জামিন পাওয়ার পরে পরিমনিকে একবার দেখতে আসলাম,Positive
পরিমনী জেল থেকে মুক্তি পাওয়ার পর আবার আসলাম গানটা শুনতে,Positive
গানের সাথে পরির জীবনের মিল আছে,Negative
আসোলে পরিমনি খানকি নস্টো মে,Negative
ও আমি জেল কাটা পরি অবস্য মুক্ত নায়িকা,Negative
আহারে পরীটার ডানা থাকলে আজ রিমান্ডে যেতে হতো না,Negative
যখন জেলখানা থেকে ছেড়ে দিলো সেই সময় শুনতে এলাম আমি,Positive
তুই ভালো না বারো বাতারি,Negative
আমার কাছে এখন এক রাত থাকলে দুই লাখ টাকা দেবো,Negative
ছারা পাওয়ার পরে দেখতে এলাম,Positive
ডানা কেটে তোর নস্ট ভোদা দিয়া ডুকাই দে মাগী,Negative
জামিন হওয়ার পর কে আসছে,Positive
ডানা গুলো থাকলে জেলে থাকতে হতো না,Negative
ওফ অনেক সুন্দর একটা গান,Positive
বেয়াদব মনিলা ছি এ নাকি আবার নায়িকা,Negative
তুমি নিশ্চয়ই সানি লিওনের ভক্ত,Negative
আমি ডানা কাটা পরি এখন জেলখানায় মরি,Negative
তুমি হালকা মুতে শুয়ে পড়ো,Negative
আমি ডানা কাটা পরি আমি ডানা কাটা পরি,Positive
পা ফাক করে সোনাটা খাবা,Negative
আমি ডানা ছাড়া পরী আমি ধরা খেয়ে গেছি এখন কি যে করি জেলে কাটবে রাত দিন এখন কি করি,Negative
আমি ডানা কাটা পরী আমি দেহ ব্যবসা করি,Negative
আমি সোনা কাটা পরী হায়রে কিযে করি,Negative
গ্রেফতার হওয়ার পর ১০ মিলিয়ন ভিউ হয়েছে এই গান,Negative
সুজন আবার আসবে কবে এখন এসেছে মদের ব্যবসা করে,Negative
আমি সোনা কাটা পরি আমি সোনা কাটা পরি,Negative
তুমি দেশের সফল চামরা বেবশায়ী,Negative
গানটি গেয়েছেন বলিউডের শিল্পী কণিকা কাপুর,Positive
আমি শাউয়া ভাজ্ঞা পরী আমি বাল পাকনা বুড়ি,Negative
পুলিশের হাতে গ্রেফতার হবার পর মনে হলো ভিডিওটা একবার দেখে আসি এই প্রথম ভিডিওটা দেখলাম,Negative
মনে হলো গ্রেফতারের পর আমারও গানটি দেখ্ উচিত,Neutral
এখন রেব এর ডলা খাও,Negative
তোমার ডানা কাটা তাই আজ জেলখানা থেকে বের হতে পারো না,Negative
তোরে এখন জেলে উল্টো ডানা কাইটা দেবে আনে হায়রে কিজে করি না বেয়াদব এখন সুজনের বদলে পুলিশ আসবে,Negative
পরীর মুক্তি চাই অসাধারণ একটা কিউট মেয়ে,Positive
পরি মনি জেলখানায় যাওয়ার পর কে কে গানটা শুনতে আসলেন লাইক দেন,Negative
কালো জামাতে পরিমনিকে সেই লাগছে,Positive
পরীমনি বাংলাদেশ এর সবচেয়ে সুন্দর ও প্রতিভাবান অভিনেত্রী,Positive
ওরে ষার দিয়ে লাগাইবার কাম,Negative
আমি ডানাকাটা পরী এখন আমি জেল খেটে মরি,Negative
নতুন ভাবে পরিকে দেখার পাবলিক তো কম নয় ডানা কাটা পরি এখন বলবে আমি জেলে থাইকা মরি,Negative
ডানা কাটা থাকেল এখন কাজে লাগতো,Negative
পরির এই সুন্দরর্য তার কাল হয়ে উঠেছে,Neutral
গ্রেফতার হবার পর মনে হলো গান টা শুনি,Negative
পরিমনি গ্রেফতারের পরে এই গান টা ভিউজ অনেক বেড়েছে,Negative
আমি ডানা কাটা পরী আমি নাইট ক্লাবে গোরি মাযে মাযে দরা পরি,Negative
তোর ডানা কাটা জেলের ভিতর ভরছে,Negative
জেলে তুমি আর সেফুদা হেলেনা জাহাঙ্গীর একসাথে ডানা কাটা পরি,Negative
রিমান্ডে নেয়ার পর মনে হল আরেকবার পরি কে দেখলে মন্দ হয় না,Negative
মিস করি আপু তোমাকে তাড়াতাড়ি চারা পাও,Positive
অনেক দিন ধরে ভাবছি গানটি শুনবো টাইম হচ্ছিল না আজ শেষ মেষ শুনলাম,Positive
ওরে বাবা এটা না ওই আসামি পরি মনি,Negative
বাংলাদেশ ২য় সানি লিওন পরি মনি,Negative
গ্রেফতার হওয়ার পর মনে হলো গানটা একবার দেখে আসা উচিত,Negative
পরীমনির বর্তমান ঘটনা শুনে অনেকেই আসবে এই গানটি শোনার জন্য,Negative
ওরে দেখলে আমার বমি চলে আসে,Negative
বেহেন চোদ তা বেহেন চোদ হে,Negative
প্রথম বার রিমান্ডের সুখে গানটা দেখলাম,Negative
যাই বলুন ও সত্যিই সুন্দর দেখতে,Positive
মনে পরে গেলো তুমি মাতাল পরি,Negative
আমি ভাবলাম আর একবার দেখে আসি,Neutral
জেলে গিয়েছে পরি পুককি দিয়ে বাশ বরে দেবে ওরা,Negative
গ্ৰেফতার হওয়ার পর ভাবলাম গানটা একটু দেখে আসি,Negative
ওরে মোর মনু তোমার ডানা সত্যি সত্যি এবার কেটে গেল,Negative
পরীমনি গ্রেফতার হওয়ার পর ইউটিউব থেকে গানটা আরেকবার দেখে নিলাম,Negative
আমি ডানা কাটা পরি আমি জেলে কিজে করি হাইরে কোজে মরি,Negative
গ্রেফতার হওয়ার পর ইচ্ছা হলো একবার ভিডিওটা দেখে আসি তাই আসলাম,Negative
গ্রেফতার হওয়ার পরে মনে হয় গান আরও হিট হচ্ছে আর ভিউ ও বাড়ছে,Negative
পরির গুদে প্রতিদিন সকালে দুইটা করে গরম ডিম যাচ্ছে,Negative
ডানা কাটা পরী ডানা দুটো কেটে দিয়েছে,Negative
আমি ডানা কাটা পরী আমি চামড়া ব্যবসায় করি হয় রে কি যে করি চামড়া ব্যবসায় করি,Negative
রূপ দেখে কেউ করিস না ভয়,Neutral
গ্রেপতার হবার পর গানটা দেখতে আসলাম,Negative
গানটার ভীতরে কিছু একটা লুকানো আছে এখন তার বাস্তব প্রামান মিললো,Positive
না রে না তুই মনের গার্ডেন সামলে রাখতে পারলি না রে শয়তান্তি,Negative
আজ অনেক মনে পড়ছে গানটা,Neutral
ডানা তো এখন সত্যি সত্যিই কেটে গেলো,Negative
এনি আটক হওয়ার পরে একটু এই গানটা দেখতে আসলাম,Negative
ওর সকল অপরাধ ধরা পড়েছে তাই ভিডিও টা দেখতে এসেছি,Negative
শেষ পৃষ্ঠা একবার কইরা লই,Neutral
গানটা খুব ফেমাস ছিল কানে শুনেছি কিন্তু তখন জানতাম না এই সেই ডানা কাটা পরি আজকে ভিডিওটা দেখলাম,Negative
পরির তো ডানা মাটিতে খুলে পরেছে জেলে যাবার পর,Negative
কিছু দিন আগে যে শুটিং করতে সে এখন জেলে,Negative
ঠিক তো কাউকে মানা করেতেন না পরি টাকা জন্য,Negative
আমার মনে হয় এই গানটি গ্রেপ্তারের পর মানুষ আরো বেশি দেখছে,Negative
সিদ্ধ ডিম দোওয়ার পর গানটা দেখলাম,Neutral
গ্রেপ্তারের পর গানটা দেখতে আসছি,Negative
নটী পুরো দেশটা নষ্ট কইরা দিছে,Negative
আমি এখন কারাগারে ডানা কাটা পরি,Positive
তবে কারও যদি তাকে ভালো না লাগে তাতে কোন সমস্যা নাই কিন্তু সে আমার অনেক ক্রাশ,Positive
আসলে এই গানটিতে তাকে ডানা কাটা পরীর মত লাগছে,Positive
তার ভুলগুলো ত্যাগ করে যেন আবার সিনেমায় আসুক,Positive
আমি চাই পরীমনি জানি আগের মতন সিনেমায় আসুক আবার মুক্ত হোক,Positive
সেফুদা আসলে গালি দেয় এজন্য,Negative
এই গানটা দেখছি পর্ন ভিডিও থেকে কিছু কম নয়,Negative
ওরে ভালো করে বিদেশি মাল কাওয়াও,Negative
দুঃখ এর সময় গানটা দেখি পরিমনির,Neutral
স্ট্যাটাস পরীর সিংগেল দেখে খদ্দের এর ছড়াছড়ি,Negative
আমি ডানা কাঁটা পরি আমি ডানা কাঁটা পরি নিশীরাতে নাইট ক্লাবে ক্লাবে ঘুরি নিচতলা ভাড়া দিয়ে পাঁচতলা গরি আমি ডানা কাঁটা পরি,Positive
২০২১ এসে গানটা আবার দেখলাম,Positive
গ্রেফতারের পর মনে হলো ডানাকাটা পরির ডানাগুলো আরেকবার দেখে আসি,Positive
গ্রেপ্তার হওয়া পরে গানটা শুনতে মন চাইলো একটু ঘুরে আসলাম,Positive
পাপের ভাগ বেশি হওয়ার পরে সে পাক্না ছাড়া পরি,Negative
শয়তানের সাথে কি কোন কথা আছে,Negative
অবিবাহিত মেয়েরা বেগুন থেকে সাবধান পিয়াজের মত বেগুনের দাম বাড়লে কারা দায়ি হবে জানেনতো,Negative
পরি মনি গ্রেফতার হওয়ার পর গানটা দেখতে আসলাম,Negative
গান টা আবার দেখতে আসলাম,Positive
বুঝলাম না পরিমনি গ্রেফতার হওয়ার পর এই গান টার ভিউ বারতেছে কেন,Negative
আমি গ্রেপ্তার হওয়ার পরে দেখতে আসলাম,Negative
গ্রেফতার হওয়ার পর এ গানটা বেশি চলতেছে,Negative
পরিকে বেগুন থেরাপি দিলে কেমন হবে,Negative
বোদা আমার সামনে দেখে লাগায় হুরুহুরি হায়্রে কি যে করি হায় রে কি যে করি আমি বোদা কাটা পরি,Negative
হুম ভাই আমার মনে হলো,Neutral
এখন রিমান্ড এ সত্যি সত্যি ডানা কেটে দিচ্ছে,Negative
আমি ও এই জন্য ওই আইসি,Neutral
ইন্ডিয়ান থেকে বলছি গ্রেফতার হয়েছিল কি কারণে পরীমনি,Neutral
হা হা হা হা হা হা হা হা হা হা হা হা হা হা,Positive
অবৈধ পুরুষাংগের চেয়ে বেগুন থেরাপি ভালো,Negative
অবিবাহিত মেয়েদের বেগুন এর অপব্যবহার না করার আহবান করছি,Negative
কথাটা শুনে ভাল লাগল উচিত কথা,Positive
ডানা কাটা পরী এখন র্্যাবের কাছে,Negative
নিউজ দেখলাম আমার মনে হলো ডানাকাঠা পরি কে দেখেআসি কি ছিল আর কি হলো,Positive
গ্রেফতার হওয়ার পর আবারও শুনলাম গান টা তবে গান টা সেই ২০১৬ থেকে শুনছি কিন্তু যতবারই শুনি গান টা নতুন নতুন মনে হই,Positive
ভায়েরা হিরে দেখলে করোনা ও ভয় পাই,Negative
আজ মনে খোব আনন্দ লাগতাছে,Positive
তুই মদ বেচুইন্না পরী আহা,Negative
কি ঢং দেখায় ছিলো এবার বুঝতেছে,Negative
সবাই একটা জিনিস খেয়াল করবেন সাতের গুলা কিন্তু পরিমাণের চেয়ে ভালো ওদের প্রতি প্রকাশ না করে শুধু এই মালটার প্রতি প্রকাশ করা হয়েছে,Negative
আমি জামা কাটা পরি এখন কেদে কেদে মরি লাইবে নাটক করি ক্লাবে ক্লাবে ঘুরি গুনগুন করে যে পোকা আমার আশে পাশে সামলাতে পারিনি আজ খোলা এ আকাশে আরে নারে নারে না কেউ পিছু ছাড়ে না আমি কোন গলি যে ধরি কোথায় গিয়ে লুকাই এখন কোথায় গিয়ে মরি আমি এখন নাটক করতে দিচ্ছি যে কুরবানি হায়রে কি হয়রানি,Negative
ওরে চুদ্দেই দা৷ ডানা কাইটায়া দিছি,Negative
একটা বাজে মেয়ে জুবো সমাজকে এমন কিছু বাজে ধংস করে দিচ্ছে,Positive
পরিমনির সাথে খুব অন্যায় হয়েছে,Positive
পরিমনির ঐ কান্ডের কথা শুনে আবার শুনতে এলাম গানটি,Positive
বাবা খাই দোকানে ধার করে বিড়ি মেয়ে ফেসবুককে নাম দিয়েছে দানা কাটা পোরি,Negative
গানটি দেকে কার কার ভালো লাগলো,Neutral
এটাত সেই মাদারের বাচ্ছা তাইনা,Positive
আমি ডানা কাটা পরি আমি দেহ ব্যবসা করি আমি দামি গাড়ি চরি আমি দামি বাসায় থাকি আরে আরে আমি দেহ ব্যবসা কারি সবাই যদি এমন করে আমি কোন ছেলের গুদমারি আমি ছোট জামা পরি আমি ডানা কাটা পরি আমি নাইট ক্লাবে ঘড়ি ঘুরতে ঘুরতে একদিন আমি হঠাৎ ধরা পড়ি হায়রে কি যে করি,Negative
আমি ডানা কাটা পড়ি আমি ধষনের ভালো অভিনয় করতে পারি,Negative
আমি ডানা কাটা পরী ভাল চুদা দিতে পারি,Negative
এগুলো দেখে কেউ যেন নির্লজ্জ না হয়,Positive
পরিমনি ধর্ষিত হওয়ার পর গানটি দেখতে আসলাম,Negative
এই যে আপনি বলেছিলেন না আমি যদি মরে যাই আমাকে মেরে ফেলা হয়েছে এখনো আপনাকে মারে নাই আপনার তো মরে যাওয়াই উচিৎ আপনি বেচেঁ থেকে বা কি করবেন বিশ্ব জয় করবেন আপনি আরও কান্না করছেন ছি লজ্জা থাকা উচিৎ অসভ্য মেয়ে শুধু তোদের জন্যে পোলাপান গুলোর এই অবস্থা তোদের এই পোশাক আশাক দেখে নিজেদেরকে কন্ট্রোল রাখতে পারে না তো আমি বলি তোরা সমাজে ধর্ষিত হবিনা তো কারা হবে এখন আপনি চাইলে ও আপনার ইজ্জৎ ফিরে পাবেন না,Neutral
বাংলাদেশের সবছেয়ে ভাজে নায়িকা পরিমনি,Negative
তুই এখন থেকে নাছিরের পরিমণি,Neutral
পরি মণি কে খুব ভাল লাগে,Positive
ডানা কাটা পরি ভাল রাগে,Negative
কি যে হচ্ছে আজ কাল,Negative
আমি সামা বেচা পরি আমি সামা ওয়ালা পরি,Negative
এই জন্যই পরিমনি এতো হট তাকে সবসময়,Positive
পরিমনি ভাইরাল হওয়ার পর দেখতে আসা আমি,Positive
মনের গার্ডে তার ফুল পোকায় ভর্তি,Negative
সুজন না তো এখন তো নাসির ভাই,Negative
পরিমনি ধর্ষিত হয়ার পর কে কে গান টা দেখছো,Neutral
